GNPS_annotation	Curated_GNPS_Annotation	Inchi_whole string	SMILES_canonical	Structural_Class	Structural_Subclass	Structural_Subclass2	Source_GFOP	Source	Source_Sub1	Source_Sub2	Drug_Info_1	Drug_Info_2	Bioactivity_boolean	Bioactivity_Known	Origin_Known	Sample_Type_Detected_In_Food	Sample_Type_Detected_In_HumanFeces	Project_Vital_Foodomics	Project_Vital_AGP1	Comment	Reference
trans-13-Octadecenoic acid	13-Octadecenoic acid	InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h5-6H,2-4,7-17H2,1H3,(H,19,20)/b6-5+	CCCCC=CCCCCCCCCCCCC(=O)O	lipid	fatty acid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/13-Octadecenoic_acid#section=Top
13[(2R,3S)-3-Pentyloxiranyl]-8Z-tridecenoic acid	13((2R,3S)-3-Pentyloxiranyl)-8Z-tridecenoic acid	InChI=1S/C20H36O3/c1-2-3-12-15-18-19(23-18)16-13-10-8-6-4-5-7-9-11-14-17-20(21)22/h4,6,18-19H,2-3,5,7-17H2,1H3,(H,21,22)/b6-4-/t18-,19+/m0/s1	CCCCCC1C(O1)CCCCC=CCCCCCCC(=O)O	lipid			multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes	metabolite P450	https://www.caymanchem.com/product/10004946
16-Hydroxyhexadecanoic acid	16-Hydroxypalmitic acid	InChI=1S/C16H32O3/c17-15-13-11-9-7-5-3-1-2-4-6-8-10-12-14-16(18)19/h17H,1-15H2,(H,18,19)	C(CCCCCCCC(=O)O)CCCCCCCO	lipid	fatty acid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/16-Hydroxyhexadecanoic_acid#section=Top
MLS000876958-01!2-(3,4-dimethoxyphenyl)-5-hydroxy-3,6,7,8-tetramethoxychromen-4-one	2-(3,4-dimethoxyphenyl)-5-hydroxy-3,6,7,8-tetramethoxychromen-4-one	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited				yes	yes	yes	yes	literature limited	literature limited
2-Hydroxyphenethyl alcohol	2-Hydroxyphenethyl alcohol	InChI=1S/C8H10O2/c9-6-5-7-3-1-2-4-8(7)10/h1-4,9-10H,5-6H2	C1=CC=C(C(=C1)CCO)O	phytochemical	phenol		food	food	food	plant						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/2-Hydroxyphenethyl_alcohol
2-Linoleoylglycerol	2-Linoleoyl-glycerol	InChI=1S/C21H38O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(24)25-20(18-22)19-23/h6-7,9-10,20,22-23H,2-5,8,11-19H2,1H3	CCCCCC=CCC=CCCCCCCCC(=O)OC(CO)CO	lipid	monoglyceride		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes	synonym: 1,3-Dihydroxypropan-2-yl octadeca-9,12-dienoate	https://pubchem.ncbi.nlm.nih.gov/compound/549043#section=Top
Spectral Match to 2-Linoleoylglycerol from NIST14	2-Linoleoyl-glycerol	InChI=1S/C21H38O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(24)25-20(18-22)19-23/h6-7,9-10,20,22-23H,2-5,8,11-19H2,1H3	CCCCCC=CCC=CCCCCCCCC(=O)OC(CO)CO	lipid	monoglyceride		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/549043#section=Top
(.+/-.)-2-Methylarachidonoyl-2'-fluoroethylamide	2-Methylarachidonoyl-2'-fluoroethylamide	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited	literature limited				yes	yes	yes	yes	analog of anandamide	literature limited
Spectral Match to Monolinolenin (9c,12c,15c) from NIST14	2-Monolinolenin	InChI=1S/C21H36O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(24)25-20(18-22)19-23/h3-4,6-7,9-10,20,22-23H,2,5,8,11-19H2,1H3/b4-3-,7-6-,10-9-	CCC=CCC=CCC=CCCCCCCCC(=O)OC(CO)CO	lipid	monoglyceride		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes	synonym: Glyceryl 2-linolenate	https://pubchem.ncbi.nlm.nih.gov/compound/11674746#section=Top
C9-PQS, NQNO	4-hydroxy-2-nonylquinoline 1-oxide or 2-nonylquinoline-3,4-diol					quinoline	bacteria	bacteria	bacteria produced	Psuedomonas metabolite						yes	yes	yes	yes		https://www.ncbi.nlm.nih.gov/pubmed/26331158;https://www.ncbi.nlm.nih.gov/pubmed/23935486;http://www.pnas.org/content/pnas/101/5/1339.full.pdf
2-nonylquinoline-3,4-diol:Series 3 HAQ C9	2-nonylquinoline-3,4-diol:Series 3 HAQ C9	InChI=1S/C18H25NO2/c1-2-3-4-5-6-7-8-13-16-18(21)17(20)14-11-9-10-12-15(14)19-16/h9-12,21H,2-8,13H2,1H3,(H,19,20)	OC1=C2C=CC=CC2=NC(CCCCCCCCC)=C1O			quinoline	bacteria	bacteria	bacteria produced	Psuedomonas metabolite						yes	yes	yes	yes		https://www.ncbi.nlm.nih.gov/pubmed/26331158;https://www.ncbi.nlm.nih.gov/pubmed/23935486;http://www.pnas.org/content/pnas/101/5/1339.full.pdf
2-(hept-1-en-1-yl)quinolin-4-ol:Series 2 HAQ C7:1	2-(hept-1-en-1-yl)quinolin-4-ol:Series 2 HAQ C7:1	InChI=1S/C16H19NO/c1-2-3-4-5-6-9-13-12-16(18)14-10-7-8-11-15(14)17-13/h6-12H,2-5H2,1H3,(H,17,18)/b9-6+	OC1=C2C=CC=CC2=NC(/C=C/CCCCC)=C1			quinoline	bacteria	bacteria	bacteria produced	Psuedomonas metabolite						yes	yes	yes	yes		https://www.ncbi.nlm.nih.gov/pubmed/26331158;https://www.ncbi.nlm.nih.gov/pubmed/23935486;http://www.pnas.org/content/pnas/101/5/1339.full.pdf
NHQ_C9:db	4-hydroxy-2-alkylquinoline_R=C9H17		OC1=CC([C9H17])=NC2=C1C=CC=C2			quinoline	bacteria	bacteria	bacteria produced	Psuedomonas metabolite						yes	yes	yes	yes		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5029194/;http://www.pnas.org/content/pnas/101/5/1339.full.pdf
2-(non-1-en-1-yl)quinolin-4-ol:Series 2 HAQ C9:1	2-(non-1-en-1-yl)quinolin-4-ol:Series 2 HAQ C9:1	InChI=1S/C18H23NO/c1-2-3-4-5-6-7-8-11-15-14-18(20)16-12-9-10-13-17(16)19-15/h8-14H,2-7H2,1H3,(H,19,20)/b11-8+	OC1=C2C=CC=CC2=NC(/C=C/CCCCCCC)=C1			quinoline	bacteria	bacteria	bacteria produced	Psuedomonas metabolite						yes	yes	yes	yes		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5029194/;http://www.pnas.org/content/pnas/101/5/1339.full.pdf
Spectral Match to Inosine, 2'-deoxy- from NIST14	2'-Deoxyinosine			nucleotide or related	nucleoside		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/2_-Deoxyinosine#section=Top
25-Hydroxycholesterol	25-Hydroxycholesterol		CC(CCCC(C)(C)O)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C	lipid	steroid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/25-Hydroxycholesterol#section=Top
3-Cysteinylacetaminophen	3-Cysteinylacetaminophen	InChI=1S/C11H14N2O4S/c1-6(14)13-7-2-3-9(15)10(4-7)18-5-8(12)11(16)17/h2-4,8,15H,5,12H2,1H3,(H,13,14)(H,16,17)/t8-/m0/s1	CC(=O)NC1=CC(=C(C=C1)O)SCC(C(=O)O)N	drug	drug		drug	drug	drug metabolite	drug metabolite	analgesic	acetaminophen metabolite	yes	pharmaceutical		yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/171264
3-Hydroxycapric acid	3-Hydroxydecanoic acid	InChI=1S/C10H20O3/c1-2-3-4-5-6-7-9(11)8-10(12)13/h9,11H,2-8H2,1H3,(H,12,13)	CCCCCCCC(CC(=O)O)O	lipid	fatty acid		human	human	human metabolite	human metabolite carboxylic acid						yes	yes	yes	yes	blood plasma	https://pubchem.ncbi.nlm.nih.gov/compound/3-Hydroxydecanoic_acid#section=Top
3-Hydroxydodecanoic acid	3-Hydroxydodecanoic acid	InChI=1S/C12H24O3/c1-2-3-4-5-6-7-8-9-11(13)10-12(14)15/h11,13H,2-10H2,1H3,(H,14,15)	CCCCCCCCCC(CC(=O)O)O	lipid	fatty acid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/94216#section=Top
3-Hydroxyoctadecanoic acid	3-Hydroxyoctadecanoic acid	InChI=1S/C18H36O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17(19)16-18(20)21/h17,19H,2-16H2,1H3,(H,20,21)	CCCCCCCCCCCCCCCC(CC(=O)O)O	lipid	fatty acid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/3-hydroxyoctadecanoic_acid
(-)-(3S)-3-Hydroxyquinine	3-Hydroxyquinine	InChI=1S/C20H24N2O3/c1-3-20(24)12-22-9-7-13(20)10-18(22)19(23)15-6-8-21-17-5-4-14(25-2)11-16(15)17/h3-6,8,11,13,18-19,23-24H,1,7,9-10,12H2,2H3/t13-,18+,19-,20-/m1/s1	COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4(C=C)O)O	drug	drug		drug	drug	drug metabolite	drug metabolite	antimalarial	quinine metabolite	yes	pharmaceutical		yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/441264#section=Top
3,5-Di-tert-butyl-4-hydroxybenzoic acid	3,5-Di-tert-butyl-4-hydroxybenzoic acid	InChI=1S/C15H22O3/c1-14(2,3)10-7-9(13(17)18)8-11(12(10)16)15(4,5)6/h7-8,16H,1-6H3,(H,17,18)	CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C(=O)O			paraben	food additive	food	food additive	preservative			yes	preservative		yes	yes	yes	yes	metabolite of butylated hydroxytoluene	https://pubchem.ncbi.nlm.nih.gov/compound/3_5-Di-tert-butyl-4-hydroxybenzoic_acid#section=Top
3,5,7,3',4'-Pentahydroxyflavanone	3,5,7,3',4'-Pentahydroxyflavanone	InChI=1S/C15H12O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,14-19,21H	O=C1C(O)C(C2=CC=C(O)C(O)=C2)OC3=C1C(O)=CC(O)=C3	phytochemical	flavanone	flavanone	bacteria	bacteria	bacteria modified	bacteria modified food						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/5258991#section=Top
Cholestan-3-ol, (3.alpha.,5.beta.)-	Epicoprosterol	InChI=1S/C27H48O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h18-25,28H,6-17H2,1-5H3/t19-,20-,21-,22+,23-,24+,25+,26+,27-/m1/s1	CC(C)CCCC(C)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C	lipid	sterol		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/91465#section=Names-and-Identifiers
Spectral Match to (+)-4-Cholesten-3-one from NIST14	4-Cholesten-3-one	InChI=1S/C27H44O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h17-19,22-25H,6-16H2,1-5H3/t19-,22+,23-,24+,25+,26+,27-/m1/s1	CC(C)CCCC(C)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C	lipid	steroid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes	dehydrocholestanone	https://pubchem.ncbi.nlm.nih.gov/compound/4-Cholesten-3-one#section=Top
4-Cholestenone	4-Cholestenone	InChI=1S/C27H44O/c1-18(2)25(28)14-9-19(3)22-12-13-23-21-11-10-20-8-6-7-16-26(20,4)24(21)15-17-27(22,23)5/h8,18-19,21-24H,6-7,9-17H2,1-5H3/t19-,21+,22-,23+,24+,26+,27-/m1/s1	CC(C)C(=O)CCC(C)C1CCC2C1(CCC3C2CCC4=CCCCC34C)C	lipid	steroid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/129628117#section=Top
4-Oxo-2-nonenal	4-Oxo-2-nonenal	InChI=1S/C9H14O2/c1-2-3-4-6-9(11)7-5-8-10/h5,7-8H,2-4,6H2,1H3/b7-5+	CCCCCC(=O)C=CC=O	lipid	fatty acyl		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://www.caymanchem.com/product/10185
4-Pregnene-20.alpha.-ol-3-one	4-Pregnene-20alpha-ol-3-one4beta-Hydroxycholesterol 4-acetate	literature limited	literature limited	lipid	sterol	literature limited	multiple sources	multiple sources	multiple sources	multiple sources	literature limited	literature limited				yes	yes	yes	yes	literature limited	literature limited
Spectral Match to 4',5-Dihydroxy-7-methoxyflavanone from NIST14	4',5-Dihydroxy-7-methoxyflavanone	InChI=1S/C16H14O5/c1-20-10-7-11(17)13-12(8-10)21-16(15(19)14(13)18)9-5-3-2-4-6-9/h2-8,14,16-18H,1H3	COC1=CC(=C2C(C(=O)C(OC2=C1)C3=CC=CC=C3)O)O	phytochemical	flavanone		food	food	food	plant						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/69045097
MoNA:837159 4`-Hydroxy Diclofenac	4'-Hydroxydiclofenac	InChI=1S/C14H11Cl2NO3/c15-10-6-9(18)7-11(16)14(10)17-12-4-2-1-3-8(12)5-13(19)20/h1-4,6-7,17-18H,5H2,(H,19,20)	C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=C(C=C2Cl)O)Cl	drug	drug		drug	drug	drug metabolite	drug metabolite	analgesic	diclofenac metabolite	yes	pharmaceutical		yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/116545#section=Top
4.beta.-Hydroxycholesterol 4-acetate	4beta-Hydroxycholesterol 4-acetate	literature limited	literature limited	lipid	sterol	literature limited	multiple sources	multiple sources	multiple sources	multiple sources	literature limited	literature limited				yes	yes	yes	yes	literature limited	literature limited
5-(4-Hydroxyphenyl)-5-phenylhydantoin	5-(4-Hydroxyphenyl)-5-phenylhydantoin			drug	drug		drug	drug	drug metabolite	drug metabolite	anticonvulsant	phenytoin metabolite	yes	pharmaceutical		yes	yes	yes	yes		https://www.sigmaaldrich.com/catalog/product/aldrich/161543?lang=en&region=US
5-Hydroxy-7-methoxyflavone	5-Hydroxy-7-methoxyflavone	InChI=1S/C16H12O4/c1-19-11-7-12(17)16-13(18)9-14(20-15(16)8-11)10-5-3-2-4-6-10/h2-9,17H,1H3	COC1=CC(=C2C(=C1)OC(=CC2=O)C3=CC=CC=C3)O	phytochemical	flavone		food	food	food	plant						yes	yes	yes	yes	synonym: Tectochrysin	https://pubchem.ncbi.nlm.nih.gov/compound/5281954
5-Hydroxyindole-3-acetic acid	5-Hydroxyindole-3-acetic acid	InChI=1S/C10H9NO3/c12-7-1-2-9-8(4-7)6(5-11-9)3-10(13)14/h1-2,4-5,11-12H,3H2,(H,13,14)	C1=CC2=C(C=C1O)C(=CN2)CC(=O)O			benzopyrrole	multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes	serotonin breakdown product in urine	https://pubchem.ncbi.nlm.nih.gov/compound/5-Hydroxyindole-3-acetic_acid#section=Top
5-Methylmyosmine	5-Methyl Myosmine	InChI=1S/C10H12N2/c1-8-5-9(7-11-6-8)10-3-2-4-12-10/h5-7H,2-4H2,1H3	CC1=CN=CC(=C1)C2=NCCC2	drug	drug		drug	drug	drug metabolite	drug metabolite	central nervous system stimulant	nicotine metabolite	yes	pharmaceutical		yes	yes	yes	yes	metabolite of nicotine	https://pubchem.ncbi.nlm.nih.gov/compound/5-Methyl_Myosmine#section=Top
5-Oxo-6E,8Z,11Z,14Z-eicosatetraenoic acid	5-Oxo-6E,8Z,11Z,14Z-eicosatetraenoic acid	InChI=1S/C20H30O3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-19(21)17-15-18-20(22)23/h6-7,9-10,12-14,16H,2-5,8,11,15,17-18H2,1H3,(H,22,23)/b7-6-,10-9-,13-12-,16-14+	CCCCCC=CCC=CCC=CC=CC(=O)CCCC(=O)O	lipid	fatty acid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes	https://pubchem.ncbi.nlm.nih.gov/compound/5-Oxo-ETE	https://en.wikipedia.org/wiki/5-oxo-eicosatetraenoic_acid
5,6,7,3',4'-Pentamethoxyflavone	5,6,7,3',4'-Pentamethoxyflavone	InChI=1S/C20H20O7/c1-22-12-8-6-11(7-9-12)17-20(26-5)16(21)15-13(27-17)10-14(23-2)18(24-3)19(15)25-4/h6-10H,1-5H3	COC1=CC=C(C=C1)C2=C(C(=O)C3=C(C(=C(C=C3O2)OC)OC)OC)OC	phytochemical	flavone		food	food	food	food						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/521171
Spectral Match to cis-5,8,11,14-Eicosatetraenoic acid from NIST14	5,8,11,14-Eicosatetraenoic acid	InChI=1S/C20H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13,15-16H,2-5,8,11,14,17-19H2,1H3,(H,21,22)	CCCCCC=CCC=CCC=CCC=CCCCC(=O)O	lipid	fatty acid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/231#section=Top
Spectral Match to .alpha.-CMBHC from NIST14	5'-Carboxy-tocopherol	InChI=1S/C29H48O4/c1-19(13-9-15-21(3)28(31)32)11-8-12-20(2)14-10-17-29(7)18-16-25-24(6)26(30)22(4)23(5)27(25)33-29/h19-21,30H,8-18H2,1-7H3,(H,31,32)/t19-,20+,21?,29+/m1/s1	CC1=C(C(=C2CCC(OC2=C1C)(C)CCCC(C)CCCC(C)CCCC(C)C(=O)O)C)O			tocopherol	vitamin	food	food	vitamin						yes	yes	yes	yes	13'-hydroxy-a-tocopherol metabolite - gut metabolite	https://pubchem.ncbi.nlm.nih.gov/compound/53481461#section=Top
5'-Carboxymeloxicam	5'-Carboxymeloxicam	InChI=1S/C14H11N3O6S2/c1-17-10(12(19)16-14-15-6-8(24-14)13(20)21)11(18)7-4-2-3-5-9(7)25(17,22)23/h2-6,18H,1H3,(H,20,21)(H,15,16,19)	CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=NC=C(S3)C(=O)O	drug	drug		drug	drug	drug metabolite	drug metabolite	analgesic	meloxicam metabolite	yes	pharmaceutical		yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/5_-Carboxy_Meloxicam#section=Top
5.alpha.-Cholest-7-en-3.beta.-ol	5alpha-Cholest-7-en-3beta-ol	InChI=1S/C27H46O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h10,18-21,23-25,28H,6-9,11-17H2,1-5H3/t19-,20+,21+,23-,24+,25+,26+,27-/m1/s1	CC(C)CCCC(C)C1CCC2C1(CCC3C2=CCC4C3(CCC(C4)O)C)C	lipid	sterol		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/65728
Cholestan-3-one, (5.alpha.)-	5alpha-Cholestan-3-one	InChI=1S/C27H46O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h18-20,22-25H,6-17H2,1-5H3/t19-,20+,22+,23-,24+,25+,26+,27-/m1/s1	CC(C)CCCC(C)C1CCC2C1(CCC3C2CCC4C3(CCC(=O)C4)C)C	lipid	steroid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes	oxidative product of cholesterol metabolite in feces	https://pubchem.ncbi.nlm.nih.gov/compound/5alpha-Cholestan-3-one#section=Top
5.alpha.-Pregnane-3,20-dione	5alpha-Pregnane-3,20-dione	InChI=1S/C21H32O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h14,16-19H,4-12H2,1-3H3/t14-,16?,17?,18?,19?,20?,21?/m0/s1	CC(=O)C1CCC2C1(CCC3C2CCC4C3(CCC(=O)C4)C)C	other			multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/24212165#section=WIPO-IPC
5.alpha.-Pregnane-3.alpha.,20.alpha.-diol	5alpha-Pregnane-3alpha,20alpha-diol	InChI=1S/C21H36O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h13-19,22-23H,4-12H2,1-3H3/t13?,14-,15?,16?,17?,18?,19?,20?,21?/m0/s1	CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O	other			multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/45043884#section=Names-and-Identifiers
6,15-Diketo-13,14-dihydro Prostaglandin F1.alpha.	6,15-Diketo-13,14-dihydro Prostaglandin F1	InChI=1S/C20H34O6/c1-2-3-4-7-14(21)10-11-16-17(19(24)13-18(16)23)12-15(22)8-5-6-9-20(25)26/h16-19,23-24H,2-13H2,1H3,(H,25,26)/t16-,17-,18-,19+/m1/s1	CCCCCC(=O)CCC1C(CC(C1CC(=O)CCCCC(=O)O)O)O	lipid	eicosanoid		food	food	food	mammal						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/174013
6,15-Diketo-13,14-dihydroprostaglandin F1.alpha.	6,15-Diketo-13,14-dihydro Prostaglandin F1	InChI=1S/C20H34O6/c1-2-3-4-7-14(21)10-11-16-17(19(24)13-18(16)23)12-15(22)8-5-6-9-20(25)26/h16-19,23-24H,2-13H2,1H3,(H,25,26)/t16-,17-,18-,19+/m1/s1	CCCCCC(=O)CCC1C(CC(C1CC(=O)CCCCC(=O)O)O)O	lipid	eicosanoid		food	food	food	mammal						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/174013
6,7-Dimethoxy-4-ethylcoumarin	6,7-Dimethoxy-4-ethylcoumarin	InChI=1S/C13H14O4/c1-4-8-5-13(14)17-10-7-12(16-3)11(15-2)6-9(8)10/h5-7H,4H2,1-3H3	CCC1=CC(=O)OC2=CC(=C(C=C12)OC)OC	phytochemical	coumarin		food	food	food	plant						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/688761
6,7,3',4'-Tetrahydroxyflavone	6,7,3',4'-Tetrahydroxyflavone	InChI=1S/C15H10O6/c16-9-2-1-7(3-11(9)18)14-5-10(17)8-4-12(19)13(20)6-15(8)21-14/h1-6,16,18-20H	C1=CC(=C(C=C1C2=CC(=O)C3=CC(=C(C=C3O2)O)O)O)O	unknown	unknown		unknown	unknown	unknown	unknown						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/24721539
Spectral Match to 6''-O-Malonylglycitin from NIST14	6''-O-Malonylglycitin	InChI=1S/C25H24O13/c1-34-16-6-13-15(35-9-14(21(13)30)11-2-4-12(26)5-3-11)7-17(16)37-25-24(33)23(32)22(31)18(38-25)10-36-20(29)8-19(27)28/h2-7,9,18,22-26,31-33H,8,10H2,1H3,(H,27,28)/t18-,22-,23+,24-,25-/m1/s1	COC1=C(C=C2C(=C1)C(=O)C(=CO2)C3=CC=C(C=C3)O)OC4C(C(C(C(O4)COC(=O)CC(=O)O)O)O)O	phytochemical	isoflavone		food	food	food	plant						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/23724657#section=IUPAC-Name
7-Ethoxycoumarin	7-Ethoxycoumarin	InChI=1S/C11H10O3/c1-2-13-9-5-3-8-4-6-11(12)14-10(8)7-9/h3-7H,2H2,1H3	CCOC1=CC2=C(C=C1)C=CC(=O)O2	phytochemical	coumarin		food	food	food	plant						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/35703
Spectral Match to cis-7-Hexadecenoic acid methyl ester from NIST14	7-Hexadecenoic acid methyl ester	InChI=1S/C17H32O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19-2/h10-11H,3-9,12-16H2,1-2H3	CCCCCCCCC=CCCCCCC(=O)OC	lipid	fatty acid ester		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/543305
7-Hydroxyflavanone	7-Hydroxyflavanone	InChI=1S/C15H12O3/c16-11-6-7-12-13(17)9-14(18-15(12)8-11)10-4-2-1-3-5-10/h1-8,14,16H,9H2	C1C(OC2=C(C1=O)C=CC(=C2)O)C3=CC=CC=C3	phytochemical	flavanone		food	food	food	plant						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/1890
7-Methoxycoumarin	7-Methoxycoumarin	InChI=1S/C10H8O3/c1-12-8-4-2-7-3-5-10(11)13-9(7)6-8/h2-6H,1H3	COC1=CC2=C(C=C1)C=CC(=O)O2	phytochemical	coumarin		food	food	food	plant						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/10748
7-Oxocholesterol	7-Oxocholesterol	InChI=1S/C27H44O2/c1-17(2)7-6-8-18(3)21-9-10-22-25-23(12-14-27(21,22)5)26(4)13-11-20(28)15-19(26)16-24(25)29/h16-18,20-23,25,28H,6-15H2,1-5H3/t18-,20+,21-,22+,23+,25+,26+,27-/m1/s1	CC(C)CCCC(C)C1CCC2C1(CCC3C2C(=O)C=C4C3(CCC(C4)O)C)C	lipid	sterol		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/91474#section=Top
cis-7,10,13,16,19-Docosapentaenoic acid	7,10,13,16,19-Docosapentaenoic acid	InChI=1S/C22H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h3-4,6-7,9-10,12-13,15-16H,2,5,8,11,14,17-21H2,1H3,(H,23,24)/b4-3+,7-6+,10-9+,13-12+,16-15+	CCC=CCC=CCC=CCC=CCC=CCCCCCC(=O)O	lipid	fatty acid		multiple sources	multiple sources	multiple sources	multiple sources						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/5282850#section=Top
7,8-Dihydroxy-4-methylcoumarin-3-acetic acid	7,8-Dihydroxy-4-methylcoumarin-3-acetic acid	InChI=1S/C12H10O6/c1-5-6-2-3-8(13)10(16)11(6)18-12(17)7(5)4-9(14)15/h2-3,13,16H,4H2,1H3,(H,14,15)	CC1=C(C(=O)OC2=C1C=CC(=C2O)O)CC(=O)O	phytochemical	coumarin		food	food	food	plant						yes	yes	yes	yes		https://pubchem.ncbi.nlm.nih.gov/compound/5498524#section=Top
